SIRET DESTINATAIRE;CODE EPCI;SIRET EPCI;ANNEE;CODE DSF;CODE COMMUNE;CODE VOIE;PREFIXE DE SECTION;SECTION CADASTRALE;NUMERO DE PLAN;NUMERO DE BATIMENT;NUMERO D ENTREE/D ESCALIER;ETAGE;NUMERO DE PORTE;NUMERO DE VOIRIE;CODE INDICE DE REPETITION;ADRESSE;CODE POSTAL;LIBELLE COMMUNE;PROPRIETAIRE;INVARIANT DU LOCAL;CODE NATURE DU LOCAL;CODE AFFECTATION DU LOCAL;CATEGORIE REVISEE;VALEUR LOCATIVE REVISEE DU DESCRIPTIF;CODE SIE                                   
21930010000019;863;20005787500011;2021;930;010;3570;;AN;0234;A;01;00;01002;2;;RUE FRANCOIS COLLET;93140;BONDY;COMMUNE DE BONDY;930101048161;CB;C;BUR1;15196;9300300;                                                                                                                                                                                                                                                                                                    
21930010000019;863;20005787500011;2021;930;010;4150;;M;0126;A;01;00;01001;31;;RUE GEORGES ELIE;93140;BONDY;COMMUNE DE BONDY;930101048162;CB;C;BUR1;172238;9300300;                                                                                                                                                                                                                                                                                                      
21930010000019;863;20005787500011;2021;930;010;8172;;AT;0189;A;02;00;01001;106;;RUE ROGER SALENGRO;93140;BONDY;COMMUNE DE BONDY;930101048163;CB;C;BUR1;14016;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;4485;;AD;0151;D;01;00;01001;9001;;SQ DU HUIT MAI 1945;93140;BONDY;COMMUNE DE BONDY;930101048166;CB;C;BUR1;36158;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;3110;;L;0045;A;01;00;01001;2;;RUE DES ECOLES;93140;BONDY;COMMUNE DE BONDY;930101048170;CB;C;BUR1;57567;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;1520;;V;0107;E;01;00;01001;4;;RUE DES CINQ ORMES;93140;BONDY;COMMUNE DE BONDY;930101048171;CB;C;BUR1;15032;9300300;                                                                                                                                                                                                                                                                                                      
21930010000019;863;20005787500011;2021;930;010;3115;;AN;0236;B;01;00;01001;153;;RUE EDOUARD VAILLANT;93140;BONDY;COMMUNE DE BONDY;930101054004;CB;C;BUR1;26307;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;0082;;B;0303;B;01;00;01001;37;;RTE D AULNAY;93140;BONDY;COMMUNE DE BONDY;930101055511;CB;C;BUR1;23039;9300300;                                                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;7130;;N;0034;B;01;00;03001;60;;AV PASTEUR;93140;BONDY;COMMUNE DE BONDY;930101055664;CB;C;BUR1;31170;9300300;                                                                                                                                                                                                                                                                                                             
21930010000019;863;20005787500011;2021;930;010;6175;;B;0191;H;01;00;01001;4;;AV MARX DORMOY;93140;BONDY;COMMUNE DE BONDY;930101062984;CB;C;BUR1;30229;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;8172;;AD;0143;A;01;00;01001;23;B;RUE ROGER SALENGRO;93140;BONDY;COMMUNE DE BONDY;930101078433;CB;C;BUR1;15357;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;8171;;B;0303;A;02;00;01002;34;;RUE ROL TANGUY;93140;BONDY;COMMUNE DE BONDY;930101127139;CB;C;BUR1;9477;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;3110;;L;0045;A;01;00;01002;2;;RUE DES ECOLES;93140;BONDY;COMMUNE DE BONDY;930101127911;CB;C;BUR1;10294;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;9100;;A;0301;B;01;00;01001;8;;RUE DE LA TERRE SAINT BLAISE;93140;BONDY;COMMUNE DE BONDY;930101129731;CB;C;BUR1;232002;9300300;                                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;4485;;AD;0082;A;01;00;01002;4;;SQ DU HUIT MAI 1945;93140;BONDY;COMMUNE DE BONDY;930101145672;CB;C;BUR1;13219;9300300;                                                                                                                                                                                                                                                                                                    
21930010000019;863;20005787500011;2021;930;010;3570;;AN;0234;A;01;00;01003;2;;RUE FRANCOIS COLLET;93140;BONDY;COMMUNE DE BONDY;930101146660;CB;C;BUR1;26144;9300300;                                                                                                                                                                                                                                                                                                    
21930010000019;863;20005787500011;2021;930;010;9645;;AT;0189;D;01;00;02001;21;;RUE DU VIEUX MOULIN;93140;BONDY;COMMUNE DE BONDY;930101151433;CB;C;BUR1;140373;9300300;                                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;7165;;AZ;0231;B;01;00;01002;2;;RUE DE LA PHILOSOPHIE;93140;BONDY;COMMUNE DE BONDY;930101173830;CB;C;MAG1;12495;9300300;                                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;D;01;00;01002;8;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930101173874;CB;C;MAG1;8552;9300300;                                                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;4436;;Q;0031;D;01;00;01001;75;;AV HENRI BARBUSSE;93140;BONDY;COMMUNE DE BONDY;930101209548;CB;C;SPE3;165420;9300300;                                                                                                                                                                                                                                                                                                     
21930010000019;863;20005787500011;2021;930;010;4160;;BC;0079;A;01;00;01001;17;;ALL DU GROS BUISSON;93140;BONDY;COMMUNE DE VILLEMOMBLE;930101027887;CB;C;SPE2;149654;9300300;                                                                                                                                                                                                                                                                                            
21930010000019;863;20005787500011;2021;930;010;0075;;P;0085;A;03;00;01001;17;;RUE AUGUSTE POLISSARD;93140;BONDY;ENT DEPARTEMENT DE LA SEINE SAINT DENIS;930100990400;CB;C;BUR1;52090;9300300;                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;0082;;K;0003;B;01;00;01001;22;;RTE D AULNAY;93140;BONDY;ENT DEPARTEMENT DE LA SEINE SAINT DENIS;930100999907;CB;C;BUR1;27943;9300300;                                                                                                                                                                                                                                                                                    
21930010000019;863;20005787500011;2021;930;010;4120;;J;0236;D;01;02;01001;86;;AV GALLIENI;93140;BONDY;ENT DEPARTEMENT DE LA SEINE SAINT DENIS;930101005441;CB;C;BUR1;141607;9300300;                                                                                                                                                                                                                                                                                    
