"","NATURE","NOM","NOM_1_G","usage","nom"
"86","ALL","GABRIELLE","ALL GABRIELLE","privé","Rachid"
"87.1","R","TREMEUGE","R DE TREMEUGE",NA,"Rachid"
"89","ALL","PAUL LAFARGUE","ALL PAUL LAFARGUE","privé","Rachid"
"92","ALL","FAUVETTE","ALL DE LA FAUVETTE","privé","Rachid"
"93","VLA","PARMENTIER","VLA PARMENTIER","privé","Rachid"
"96.1","CRS","REPUBLIQUE","CRS DE LA REPUBLIQUE",NA,"Rachid"
"99","ALL","VILLA JEANNETTE","ALL DE LA VILLA JEANNETTE",NA,"Rachid"
"101","2","EUGENE DELACROIX","ALL EUGENE DELACROIX","privé","Rachid"
"107.1","AV","CARNOT","AV CARNOT",NA,"Rachid"
"108","ALL","POQUE","ALL POQUE","privé","Rachid"
"109","ALL","ALEXANDRE MARTHE","ALL ALEXANDRE MARTHE","privé","Rachid"
"110","AV","BELFORT","AV DE BELFORT",NA,"Rachid"
"112","11","CONDORCET","ALL CONDORCET","privé","Rachid"
"113","VLA","ABEILLES","VLA DES ABEILLES",NA,"Rachid"
"114.1","ALL","MOLIERE","ALL MOLIERE",NA,"Rachid"
"117","R","PHILOSOPHIE","R DE LA PHILOSOPHIE",NA,"Rachid"
"119","3","DOMINIQUE INGRES","ALL DOMINIQUE INGRES","privé","Rachid"
"122","R","CLOS VAILLANT","R DU CLOS VAILLANT","privé","Rachid"
"123","AV","MARIE CURIE","AV MARIE CURIE",NA,"Rachid"
"124","R","BEL AIR","R DU BEL AIR",NA,"Rachid"
"128","IMP","GEORGES BRASSENS","IMP GEORGES BRASSENS",NA,"Rachid"
"130","VLA","LAVIGNE","VLA LAVIGNE",NA,"Rachid"
"131","AV","EST","AV DE L'EST",NA,"Rachid"
"135","ALL","CLAUDE DEBUSSY","ALL CLAUDE DEBUSSY","privé","Rachid"
"140","SEN","BLERIOT","SEN BLERIOT",NA,"Rachid"
"142","PL","REPUBLIQUE","PL DE LA REPUBLIQUE",NA,"Rachid"
"143.1","R","BEAUREGARD","R BEAUREGARD",NA,"Rachid"
"144","R","LEVANT","R DU LEVANT",NA,"Rachid"
"146","AV","METZ","AV DE METZ",NA,"Rachid"
"147","ALL","LOUISE","ALL LOUISE",NA,"Rachid"
"150","R","JACQUELINE AURIOL","R JACQUELINE AURIOL","privé","Rachid"
"151","R","FRANCOIS COLLET","R FRANCOIS COLLET",NA,"Rachid"
"154","R","CHARLES MAGNE","R CHARLES MAGNE","privé","Rachid"
