"","X","Rue","Peri","rueCourte","rue"
"493",1204,"DURAS RUE MARGUERITE DURAS","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","DURAS","RUE MARGUERITE DURAS"
"495",1208,"ECOLES RUE DES ECOLES","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le coté impair","ECOLES","RUE DES ECOLES"
"496",1210,"EDOUARD VAILLANT RUE EDOUARD VAILLANT ie :","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Cété pair allant des n° 2 a 70 et cote impair allant des n° 1.81","EDOUARD","VAILLANT RUE EDOUARD VAILLANT  "
"500",1223,"EGALITE RUE DE L'EGALITE ‘ (","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","EGALITE","RUE DE L'EGALITE ‘ "
"501",1224,"EGALITE RUE DE L'EGALITE ‘ (","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cdté pair et tout le cété impair","EGALITE","RUE DE L'EGALITE ‘ "
"502",1226,"EGALITE ALLEE DE L'EGALITE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair","EGALITE","ALLEE DE L'EGALITE"
"503",1227,"EGALITE ALLEE DE L'EGALITE","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair","EGALITE","ALLEE DE L'EGALITE"
"504",1229,"ELIE RUE GEORGES ELIE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","ELIE","RUE GEORGES ELIE"
"505",1230,"ELIE RUE GEORGES ELIE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","ELIE","RUE GEORGES ELIE"
"506",1232,"ELUARD RUE PAUL ELUARD","Périmétre : Périmetre Maternelle Camille Claudel Tout le cdté pair et tout le cété impair","ELUARD","RUE PAUL ELUARD"
"507",1236,"ELUARD RUE PAUL ELUARD","Périmétre : Périmetre Elementaire Camille Claudel Tout le cété pair et tout le coté impair","ELUARD","RUE PAUL ELUARD"
"508",1237,"ELUARD RUE PAUL ELUARD","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cote impair","ELUARD","RUE PAUL ELUARD"
"509",1239,"ERABLES ALLEE DES ERABLES CP  f","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair ft L f","ERABLES","ALLEE DES ERABLES CP  "
"510",1240,"ERABLES ALLEE DES ERABLES CP  f","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le coté impair","ERABLES","ALLEE DES ERABLES CP  "
"511",1243,"ESCHOLIERS RUE DES ESCHOLIERS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair \V","ESCHOLIERS","RUE DES ESCHOLIERS"
"512",1244,"ESCHOLIERS RUE DES ESCHOLIERS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cdté pair et tout le cété impair :","ESCHOLIERS","RUE DES ESCHOLIERS"
"513",1246,"ESPERANCE AVENUE DE L'ESPERANCE ‘, \ ERK","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdté impair /","ESPERANCE","AVENUE DE L'ESPERANCE ‘,  "
"514",1247,"ESPERANCE AVENUE DE L'ESPERANCE ‘, \ ERK","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair j","ESPERANCE","AVENUE DE L'ESPERANCE ‘,  "
"515",1250,"ESPERANTO ALLEE DE L'ESPERANTO . f oP","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair .","ESPERANTO","ALLEE DE L'ESPERANTO .  P"
"516",1252,"EST AVENUE DE L'EST","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","EST","AVENUE DE L'EST"
"517",1253,"EST AVENUE DE L'EST","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cdté impair","EST","AVENUE DE L'EST"
"518",1255,"ETOILE ALLEE DE L'ETOILE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","ETOILE","ALLEE DE L'ETOILE"
"519",1256,"ETOILE ALLEE DE L'ETOILE","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le c6té impair","ETOILE","ALLEE DE L'ETOILE"
"520",1258,"EUDEMON PLACE EUDEMON","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le coté impair \/","EUDEMON","PLACE EUDEMON"
"521",1259,"EUDEMON PLACE EUDEMON","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair .","EUDEMON","PLACE EUDEMON"
"522",1264,"FAURE ALLEE GABRIEL FAURE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair","FAURE","ALLEE GABRIEL FAURE"
"523",1265,"FAURE ALLEE GABRIEL FAURE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair","FAURE","ALLEE GABRIEL FAURE"
"524",1267,"FAUVETTE ALLEE DE LAFAUVETTE","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le c6té impair","FAUVETTE","ALLEE DE LAFAUVETTE"
"525",1268,"FAUVETTE ALLEE DE LAFAUVETTE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair","FAUVETTE","ALLEE DE LAFAUVETTE"
"526",1270,"FER A CHEVAL RUE DU FER A CHEVAL \ /","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cdté impair \ }","FER","A CHEVAL RUE DU FER A CHEVAL  "
"527",1279,"FER A CHEVAL RUE DU FER ACHEVAL \U","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","FER","A CHEVAL RUE DU FER ACHEVAL U"
"528",1284,"FERDINAND RUE CHARLES FERDINAND |","Périmétre : Périmetre Elementaire Camille Claudel Tout le cété pair et tout le cété impair VV","FERDINAND","RUE CHARLES FERDINAND "
"529",1288,"FERNAND POTTIER IMPASSE FERNAND POTTIER hod","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair","FERNAND","POTTIER IMPASSE FERNAND POTTIER "
