"","NOM_1_G","NOM","NATURE","usage","longueur","aire"
"38","ALL DES GLYCINES","GLYCINES","ALL","privé",62,NA
"39","ALL DES HETRES","HETRES","ALL","public",185,NA
"40","ALL DES HORTENSIAS","HORTENSIAS","ALL","privé",78,NA
"41","ALL DES IRIS","IRIS","ALL","privé",91,NA
"42","ALL DES LAURIERS","LAURIERS","ALL","privé",67,NA
"43","ALL DES LETTRES","LETTRES","ALL","public",198,NA
"44","ALL DES LILAS","LILAS","ALL","privé",151,NA
"45","ALL DES ORCHIDEES","ORCHIDEES","ALL","privé",217,NA
"46","ALL DES PAQUERETTES","PAQUERETTES","ALL","privé",140,NA
"47","ALL DES PENSEES","PENSEES","ALL","privé",75,NA
"48","ALL DES PINSONS","PINSONS","ALL","public",141,NA
"49","ALL DES PRIMEVERES","PRIMEVERES","ALL","privé",340,NA
"50","ALL DES RENONCULES","RENONCULES","ALL","privé",217,NA
"51","ALL DES ROSES","ROSES","ALL","privé",75,NA
"52","ALL DES SORBIERS","SORBIERS","ALL","privé",152,NA
"53","ALL DES SYCOMORES","SYCOMORES","ALL","privé",159,NA
"54","ALL DES SYLPHES","SYLPHES","ALL","public",172,NA
"55","ALL DES TILLEULS","TILLEULS","ALL","public",202,NA
"56","ALL DES TULIPES","TULIPES","ALL","privé",61,NA
"57","ALL DES VIGNES","VIGNES","ALL","public",151,NA
"58","ALL DOMINIQUE INGRES","DOMINIQUE INGRES","ALL","privé",26,NA
"59","ALL DU GROS BUISSON","GROS BUISSON","ALL","public",134,NA
"60","ALL DU MOULIN","MOULIN","ALL","public",166,NA
"61","ALL DU MUGUET","MUGUET","ALL","public",129,NA
"62","ALL DU RENDEZ VOUS","RENDEZ VOUS","ALL","public",359,NA
"63","ALL ESPERANTO","ESPERANTO","ALL","public",81,NA
"64","ALL EUGENE DELACROIX","EUGENE DELACROIX","ALL","privé",59,NA
"65","ALL GABRIEL FAURE","GABRIEL FAURE","ALL","privé",91,NA
"66","ALL GABRIELLE","GABRIELLE","ALL","privé",242,NA
"67","ALL GEORGES SAND","GEORGES SAND","ALL","public",311,NA
"68","ALL GOYA","GOYA","ALL","privé",25,NA
"69","ALL HANNAH ARENDT","HANNAH ARENDT","ALL","public",189,NA
"70","ALL HECTOR BERLIOZ","HECTOR BERLIOZ","ALL","privé",135,NA
"71","ALL JEAN COURTADE","JEAN COURTADE","ALL","privé",90,NA
"72","ALL JOACHIM DU BELLAY","JOACHIM DU BELLAY","ALL","privé",79,NA
"73","ALL JOSE MARTI","JOSE MARTI","ALL","public",109,NA
"74","ALL LEON","LEON","ALL","public",150,NA
"75","ALL LOUISE","LOUISE","ALL","public",69,NA
"76","ALL LOUISE MICHEL","LOUISE MICHEL","ALL","public",80,NA
"77","ALL LOUISE WEISS","LOUISE WEISS","ALL","privé",23,NA
"78","ALL MANET","MANET","ALL","privé",53,NA
"79","ALL MARCEL SEMBAT","MARCEL SEMBAT","ALL","public",320,NA
