"","cle","depcom","id_ea","principal","numero","repetition","complement","type_voie","libelle","rivoli","categorie","type","nombre_logements","actualité","numero_permis","commentaire"
"63","66",93010,930100001098133,"O",25,NA,NA,"AV","DE L'EST",3155,"HABIT",21,1,3,"PC9301020B0049","MAIRIE 31/10/2023: ancien garage - affichage panneau construction maison vide¶INSEE 07/04/2023: Merci de vérifier le positionnement et l'actualité de l'entité adressée."
"64","67",93010,930100001017818,"O",0,NA,NA,"R","BENOITE GROULT",665,"HABIT",23,68,4,"PC9301020B0059","MAIRIE 26/10/2023: encore 1 mois de travaux¶INSEE 20/04/2023: rue Benoite Groult créée"
"65","68",93010,930100000272755,"O",24,NA,"24-32","RTE","D'AULNAY",82,"HABIT",23,181,4,"PC9301015B0069","MAIRIE 26/10/2023: 6 mois environ¶MAIRIE 11/04/2023: en voie de finition¶MAIRIE 02/12/2022: Travaux en cours 3 étages¶MAIRIE 03/03/2021: Travaux en cours fondations¶insee le 09/12/16 : Merci de préciser l'adresse complète et la répartition des 181 logements sur les adresses du 24 au 32.¶MAIRIE 18/06/2018:  PC affiché - construction d'un ensemble de 8 bâtiments - Terrain vague"
"66","69",93010,930100000005382,"O",6,NA,NA,"AV","JULES FERRY",4770,"HABIT",21,1,3,NA,"INSEE 02/02/2024: FN RP 2024 pour signaler destruction travaux en cours. Actu 3¶INSEE 02/11/2023: Tâche refusée car cette EA est échantillonnée en 2024 : vous ne pouvez pas la périmer maintenant. Il faut passer par une fiche-navette via Omer (voir avec le CC) pour établir une FANE.¶MAIRIE 31/10/2023: tout est détruit"
"67","7",93010,930100001082764,"O",1,NA,NA,"R","DE L'UNION",9550,"HABIT",21,1,2,"PC9301022B0050","MAIRIE 24/10/2023: idem¶MAIRIE 27/06/2023: PC affiché division de partielle travaux non commencés¶¶INSEE 26/06/2023: Merci de nous communiquer un numéro de permis lorsqu'il sera obtenu.¶INSEE 26/06/2023: Réception de l'arrêté de numérotation n°A2022_620 du 10/01/2023 : division de la parcelle cadastrée section AL0106"
"68","70",93010,930100000004033,"O",119,"BIS","R EDOUARD VAILLANT","ALL","DES SYLPHES",8890,"HABIT",21,1,3,NA,"INSEE 06/02/2024:  RP 2024 FN.     Adresse non habitée"
"69","71",93010,930100001147606,"O",1,NA,NA,"R","JEAN JAURES",4740,"HABIT",23,17,2,"PC9301016B0030",NA
"70","72",93010,930100000008459,"O",46,NA,NA,"R","JULES GUESDE",4775,"HABIT",21,1,0,NA,"INSEE 06/02/2024: RP 2024 FN. Merci de vérifier l'actualité."
"71","73",93010,930100001149463,"O",9,NA,NA,"AV","DE BELFORT",650,"HABIT",21,1,2,"PC9301023B0043","INSEE 16/02/2024: 3e flux"
"72","74",93010,930100001149498,"O",18,NA,NA,"AV","MARGUERITE",6160,"HABIT",22,2,2,"DP9301023B0175","INSEE 16/02/2024:  créé suite 3ème flux 23-24. Que devient l'ancien 18 av Marguerite avec 1 logement? le périmer si nécessaire."
"73","75",93010,930100001104205,"O",2,NA,NA,"AV","SUZANNE BUISSON",8880,"HABIT",23,13,0,"PC9301019B0019","INSEE 13/03/2024: Suite à l'arrêté de numérotage n°A2023_452 du 19/12/2023"
"74","76",93010,930100000000345,"O",2,"TER",NA,"AV","SUZANNE BUISSON",8880,"HABIT",23,10,0,NA,"INSEE 13/03/2024: Suite à l'arrêté de numérotage n°A2023_452 du 19/12/2023"
