"","Rue","Peri"
"463","MOULIN ALLEE DU MOULIN","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"465","MOULIN AVENUE JEAN MOULIN ;","Périmétre : Périmetre Maternelle Jean Zay Tout le cdté pair et tout le cété impair \ f"
"466","MOULIN AVENUE JEAN MOULIN ;","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair vw"
"468","MOULY RUE HENRI MOULY","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"469","MOULY RUE HENRI MOULY","Périmétre : Périmetre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair"
"471","MOZART ALLEE MOZART","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"475","NANCY AVENUE DE NANCY","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"477","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.;COLLE Tout le cété pair et tout le cété impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.;COLLE Tout le cété pair et tout le cété impair"
"478","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.;COLLE Tout le cété pair et tout le cété impair","Périmétre : Périmetre Maternelle Jules Ferry Tout le cdté pair et tout le cété impair"
"481","NERUDA ALLEE PABLO NERUDA","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"482","NERUDA ALLEE PABLO NERUDA","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"484","NEUBURGER PLACE NICOLE NEUBURGER","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"485","NEUBURGER PLACE NICOLE NEUBURGER","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"491","NOEMIE RUE NOEMIE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair"
"494","NOUE CAILLET CENTRE COM LA NOUE CAILLET","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"497","ORCHIDEES ALLEE DES ORCHIDEES","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"502","PAIN RUE ODETTE PAIN","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair \ |"
"509","PAIN RUE ODETTE PAIN 1 7","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cote impair J"
"511","PAIX ALLEE DE LA PAIX","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"512","PAIX ALLEE DE LA PAIX","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cdté impair"
"515","PANURGE RUE DE PANURGE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cdté pair et tout le cdté impair"
"516","PANURGE RUE DE PANURGE","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cdté impair"
"518","PAQUERETTES ALLEE DES PAQUERETTES","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cdté pair et tout le cété impair"
