"220","AV","5","NA","REPUBLIQUE","AV DE LA REPUBLIQUE","NA"
"165","R","5","NA","RIMBAUD","R ARTHUR RIMBAUD","NA"
"20","R","5","NA","ROBERT BONNET","R ROBERT BONNET","NA"
"215","R","5","NA","ROGER","R PAULINE ROGER","NA"
"35","R","4","NA","ROGESALENGRO","R ROGER SALENGRO","NA"
"350","R","4","NA","ROMAIN ROLLAND","R ROMAIN ROLLAND","NA"
"24","ALL","6","NA","ROSES","ALL DES ROSES","privé"
"126","AV","3","NA","ROSNY","AV DE ROSNY","NA"
"7","AV","5","NA","ROUGET","AV ROUGET DE LISLE","NA"
"354","R","4","NA","ROUSSEAU","R JEAN JACQUES ROUSSEAU","NA"
"52","ALL","5","NA","RULHIERE","ALL RULHIERE","NA"
"95","R","5","NA","SAINT-BLAISE","R DE LA TERRE SAINT-BLAISE","NA"
"234","R","5","NA","SAINT-LOUIS","R SAINT-LOUIS","NA"
"340","R","5","NA","SAINT-LOUIS PROLONGEE","R SAINT-LOUIS PROLONGEE","NA"
"47","R","5","NA","SAINTE-BARBE","R SAINTE-BARBE","NA"
"61","RLE","6","NA","SAINTE-BARBE","RLE SAINTE-BARBE","piéton"
"190","ALL","5","NA","SAN","ALL SAN MARTIN","NA"
"42","CITE","5","NA","SAULES","CITE DES SAULES","NA"
"23","PL","5","NA","SCHOELCHER","PL SCHOELCHER","NA"
"73","AV","5","NA","SCIENCES","AV DES SCIENCES","NA"
"116","ALL","5","NA","SEMBAT","ALL MARCEL SEMBAT","NA"
"319","R","5","NA","SEPTEMBRE","R DU 4 SEPTEMBRE","NA"
"359","R","5","NA","SERGENT BOBILLOT","R DU SERGENT BOBILLOT","NA"
"326","R","6","NA","SIMONE VEIL","R SIMONE VEIL","NA"
"166","R","4","NA","SOLIDARITE","R DE LA SOLIDARITE","NA"
"283","IMP","5","NA","SOLIDARITE","IMP DE LA SOLIDARITE","privé"
"275","ALL","5","NA","SORBIERS","ALL DES SORBIERS","privé"
"103","RTE","3","NA","STAINS","RTE DE STAINS","NA"
"185","ALL","5","NA","SURCOUF","ALL SURCOUF","NA"
"325","R","6","NA","SUZANNE BLIN","R SUZANNE BLIN","NA"
"334","AV","3","NA","SUZANNE BUISSON","AV SUZANNE BUISSON","NA"
"210","ALL","5","NA","SYCOMORES","ALL DES SYCOMORES","privé"
"284","ALL","5","NA","SYLPHES","ALL DES SYLPHES","NA"
"180","ALL","5","NA","SYLVESTRE","ALL ANNE SYLVESTRE","public"
"237","R","6","NA","TABARLY","R ERIC TABARLY","NA"
"238","R","5","NA","TANGUY","R HENRI ROL TANGUY","privé"
"347","AV","4","NA","TASSIGNY","AV MAL DE LATTRE DE TASSIGNY","NA"
"97","ALL","5","NA","THERESE","ALL THERESE","NA"
"227","AV","3","NA","THOMAS","AV ALBERT THOMAS","NA"
"270","VLA","5","NA","THOREL","VLA THOREL","NA"
"58","ALL","5","NA","TILLEULS","ALL DES TILLEULS","NA"
"127","R","5","NA","TJIBAOU","R JEAN-MARIE TJIBAOU","NA"
"87","R","5","NA","TREMEUGE","R DE TREMEUGE","NA"
"46","R","5","NA","TRINQUAMELLE","R TRINQUAMELLE","privé"
"159","ALL","5","NA","TULIPES","ALL DES TULIPES","privé"
"155","R","5","NA","VARLIN","R EUGENE VARLIN","NA"
"54","R","5","NA","VARSOVIE","R DE VARSOVIE","NA"
"171","AV","4","NA","VERDUN","AV DE VERDUN","NA"
"179","R","4","NA","VERGER","R DU VERGER","NA"
"259","RPT","4","NA","VERGER","RPT DU VERGER","NA"
"183","R","5","NA","VERSAILLES","R DE VERSAILLES","NA"
"157","R","5","NA","VIEUX CHATEAU","R DU VIEUX CHATEAU","NA"
"204","R","5","NA","VIEUX MOULIN","R DU VIEUX MOULIN","NA"
"218","ALL","5","NA","VIGNES","ALL DES VIGNES","NA"
"60","AV","5","NA","VILLAGEOISE","AV DE LA VILLAGEOISE","NA"
"231","AV","5","NA","VILLEGIATURE","AV DE LA VILLEGIATURE","NA"
"4","RTE","4","NA","VILLEMOMBLE","RTE DE VILLEMOMBLE","NA"
"156","IMP","5","NA","VIOLETTES","IMP DES VIOLETTES","privé"
"235","ALL","5","NA","VOLTAIRE","ALL VOLTAIRE","NA"
"311","8","6","ALL WATTEAU","WATTEAU","8","privé"
"261","IMP","5","NA","WIENER","IMP JEAN WIENER","NA"
"195","R","5","NA","YVONNE","R YVONNE","NA"
