fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"121",PAS,"5",,MICHELET,PAS MICHELET,privé,,,,,,,,,,,,,
"122","3","6",ALL DOMINIQUE INGRES,"3","3",privé,,,,,,,,,,,,,
"123",ALL,"6",,DES GLAIEULS,ALL DES GLAIEULS,privé,,,,,,,,,,,,,
"124",IMP,"5",,DE LA PARISIENNE,IMP DE LA PARISIENNE,privé,,,,,,,,,,,,,
"125",R,"5",,DU CLOS VAILLANT,R DU CLOS VAILLANT,privé,,,,,,,,,,,,,
"127",R,"5",,DU BEL AIR,R DU BEL AIR,,,,,,,,,,,,,,
"128",R,"5",,DES FLORALIES,R DES FLORALIES,privé,,,,,,,,,,,,,
"130",R,"5",,JEAN-MARIE TJIBAOU,R JEAN-MARIE TJIBAOU,,,,,,,,,,,,,,
"131",IMP,"5",,GEORGES BRASSENS,IMP GEORGES BRASSENS,,,,,,,,,,,,,,
"132",ALL,"6",,DES HORTENSIAS,ALL DES HORTENSIAS,privé,,,,,,,,,,,,,
"136",PL,"6",,DE LA DIVISION LECLERC,PL DE LA DIVISION LECLERC,,,,,,,,,,,,,,
"138",ALL,"5",,CLAUDE DEBUSSY,ALL CLAUDE DEBUSSY,privé,,,,,,,,,,,,,
"139",ALL,"5",,PABLO NERUDA,ALL PABLO NERUDA,,,,,,,,,,,,,,
"142",R,"5",,DES GAZELLES,R DES GAZELLES,,,,,,,,,,,,,,
"143",SEN,"5",,BLERIOT,SEN BLERIOT,,,,,,,,,,,,,,
"144",ALL,"5",,DES AZALEES,ALL DES AZALEES,privé,,,,,,,,,,,,,
"147",R,"5",,DU LEVANT,R DU LEVANT,,,,,,,,,,,,,,
"148",ALL,"4",,DU RENDEZ VOUS,ALL DU RENDEZ VOUS,,,,,,,,,,,,,,
"150",ALL,"5",,LOUISE,ALL LOUISE,,,,,,,,,,,,,,
