ID,Couche,Utilisateur,Observation,adresse,detail
68394,Bâtis à protéger (éléments et ensembles),BONDY,"8 allée des Lettres 
 à protéger",8 allée des Lettres , à protéger
68393,Bâtis à protéger (éléments et ensembles),BONDY,"5  allée des Lettres 
 à protéger",5  allée des Lettres , à protéger
68388,Bâtis à protéger (éléments et ensembles),BONDY,"
allée de l'Orme 
 à protéger",29 allée de l'Orme , à protéger
68386,Bâtis à protéger (éléments et ensembles),BONDY,"
allée de l'Orme 
 à protéger et non le 26bis comme indiqué",26 allée de l'Orme , à protéger et non le 26bis comme indiqué
68385,Bâtis à protéger (éléments et ensembles),BONDY,"14 allée de l'Orme 
 à protéger",14 allée de l'Orme , à protéger
68381,Bâtis à protéger (éléments et ensembles),BONDY,"35 allée de l'étoile 
 à protéger",35 allée de l'étoile , à protéger
68380,Bâtis à protéger (éléments et ensembles),BONDY,"19 allée de l'étoile 
 à protéger",19 allée de l'étoile , à protéger
68379,Bâtis à protéger (éléments et ensembles),BONDY,"15 allée de l'étoile 
 à protéger",15 allée de l'étoile , à protéger
67521,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 13 avenue Pasteur, Bondy 
Maison de Bourg 3. Grande maison meulière",13 avenue Pasteur ,Maison de Bourg 3. Grande maison meulière
67520,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 13 av des Mésarmes  
Maison pavillonnaire 3. Jolie maison non-repérée",13 av des Mésarmes  ,Maison pavillonnaire 3. Jolie maison non-repérée
67519,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 10 Rue Fontaine  
Maison pavillonnaire 3. Belle maison meulière",10 Rue Fontaine  ,Maison pavillonnaire 3. Belle maison meulière
67518,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 36 Route d'Aulnay, Bondy 
Architecture industrielle 3. Grande halle industrielle, briques",36 Route d'Aulnay ,"Architecture industrielle 3. Grande halle industrielle, briques"
67517,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"Rue Nadia Murad, Bondy Architecture industrielle Halle industrielle vétuste mais d'époque, à interroger ?","Rue Nadia Murad, ","Bondy Architecture industrielle Halle industrielle vétuste mais d'époque, à interroger ?"
67510,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"Petit quartier pavillonnaire, niché entre l'avenue Gallieni et le Canal, proche de l'Ecole et très calme. Considérer un classement en ensemble ?","Petit quartier pavillonnaire, niché entre l'avenue Gallieni et le Canal, proche de l'Ecole et très calme. Considérer un classement en ensemble ?",NA
67409,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. Hopital Jean Verdier  
Architecture hopsitalière  3. Hopital construit en 1972-1974 par Henri Colboc, repéré par le CD93, Est Ensemble et la ville pour une protection patrimoniale à fixer",Hopital Jean Verdier  ,"Architecture hopsitalière  3. Hopital construit en 1972-1974 par Henri Colboc, repéré par le CD93, Est Ensemble et la ville pour une protection patrimoniale à fixer"
67407,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. Cité du Stade, Bondy 
Grands ensembles 3. Cité construite en 1956, première réalisation en région parisienne de Stoskopf",Cité du Stade ,"Grands ensembles 3. Cité construite en 1956, première réalisation en région parisienne de Stoskopf"
67406,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 190 Rue Edouard Vaillant 
Maison pavillonnaire 3. Belle maison en pierre, repérée par le CD93",190 Rue Edouard Vaillant ,"Maison pavillonnaire 3. Belle maison en pierre, repérée par le CD93"
67405,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 
Allée Alice 
Maison pavillonnaire 3. Jolie maison en pierre, repérée par le CD93",25 Allée Alice ,"Maison pavillonnaire 3. Jolie maison en pierre, repérée par le CD93"
67404,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 9 Rue du Levant 
Maison pavillonnaire 3. Jolie maison meulière",9 Rue du Levant ,Maison pavillonnaire 3. Jolie maison meulière
67403,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 
Allée Racine 
Maison pavillonnaire  3. Très jolie maison meulière",28 Allée Racine ,Maison pavillonnaire  3. Très jolie maison meulière
67402,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 186 Rue Blanqui 
Maison pavillonnaire 3. Très jolie maison",1. 186 Rue Blanqui ,Maison pavillonnaire 3. Très jolie maison
67401,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"40 Rue Vaillant  
Maison pavillonnaire  3. Maison repérée par le service patrimoine du CD93, une des plus anciennes maisons décorées du quartier",40 Rue Vaillant  ,"Maison pavillonnaire  3. Maison repérée par le service patrimoine du CD93, une des plus anciennes maisons décorées du quartier"
67400,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 199 avenue Gallieni, Bondy 
Maison pavillonnaire  3. Pavillon fin XXème repéré par le CD93",199 avenue Gallieni ,Maison pavillonnaire  3. Pavillon fin XXème repéré par le CD93
67399,Bâtis à protéger (éléments et ensembles),ESTENSEMBLE,"1. 170 Av Gallieni, Bondy 
Maison pavillonnaire  3. Pavillon fin XIXème-début XXème, repéré par le CD93",170 Av Gallieni,"Maison pavillonnaire  3. Pavillon fin XIXème-début XXème, repéré par le CD93"
