ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,cp
25,Oui,Je ne sais pas,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,42290
26,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41370
27,Non,,,,,,,,,,,,,,,,,,,,,,28630
28,Non,,,,,,,,,,,,,,,,,,,,,,28630
29,Oui,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28220
30,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,45000
31,Non,,,,,,,,,,,,,,,,,,,,,,45310
32,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28270
33,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,28250
34,Oui,Oui,Généralisés (>30% de la surface touchée),,Oui,Localisés (entre 5 et 30%),,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28310
35,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),,Non,,,,,,Oui,Très ponctuels (<5%),,Non,,,41290
36,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45300
37,Non,,,,,,,,,,,,,,,,,,,,,,45210
38,Non,,,,,,,,,,,,,,,,,,,,,,45490
39,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45480
