"","NOM","NATURE","NOM2","raccourci"
"281","R LOUIS AUGUSTE BLANQUI","R","LOUIS AUGUSTE BLANQUI","Mainguy Saule"
"282","R LOUIS LEON COLLIGNON","R","LOUIS LEON COLLIGNON","Saule"
"283","R LUCIE AUBRAC","R","LUCIE AUBRAC","NC-TSB"
"284","R LUCIEN CHAPELAIN","R","LUCIEN CHAPELAIN","Merisiers"
"285","R MARAICHERS","R","MARAICHERS","Mainguy"
"286","R MARCEL DASSAULT","R","MARCEL DASSAULT","MVeuve"
"287","R MARCEL PAUL","R","MARCEL PAUL","MVeuve"
"288","R MARCELLIN BERTHELOT","R","MARCELLIN BERTHELOT","Saule"
"289","R MARGUERITE DURAS","R","MARGUERITE DURAS","MVeuve"
"290","R MARTIN LUTHER KING","R","MARTIN LUTHER KING","Saule"
"291","R MEAUX","R","MEAUX","NC-TSB"
"292","R MICHELET","R","MICHELET","Mainguy"
"293","R MIDI","R","MIDI","MVeuve"
"294","R MOLERET","R","MOLERET","Saule"
"295","R NADIA MURAD","R","NADIA MURAD","Merisiers NC-TSB"
"296","R NEUVE","R","NEUVE","Mainguy Saule"
"297","R NOEMIE","R","NOEMIE","Saule"
"298","R ODETTE PAIN","R","ODETTE PAIN","NC-TSB"
"299","R PANURGE","R","PANURGE","NC-TSB"
"300","R PARIS","R","PARIS","Mainguy"
"301","R PAUL ELUARD","R","PAUL ELUARD","Saule"
"302","R PAUL RENAUD","R","PAUL RENAUD","Merisiers NC-TSB"
"303","R PAUL VAILLANT COUTURIER","R","PAUL VAILLANT COUTURIER","Mainguy"
"304","R PAULINE ROGER","R","PAULINE ROGER","MVeuve"
"305","R PEUPLIERS","R","PEUPLIERS","MVeuve"
"306","R PHILEAS COLLARDEAU","R","PHILEAS COLLARDEAU","Mainguy"
"307","R PHILOSOPHIE","R","PHILOSOPHIE","MVeuve"
"308","R PIERRE BROSSOLETTE","R","PIERRE BROSSOLETTE","Saule"
"309","R PIERRE DE RONSARD","R","PIERRE DE RONSARD","Merisiers"
"310","R PLAISANCE","R","PLAISANCE","Saule"
"311","R POTAGER","R","POTAGER","Mainguy"
"312","R PRESSENSE","R","PRESSENSE","Saule"
