"","numero","nom_voie","nom"
"226542",18,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226544",20,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226546",22,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226549",26,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226550",28,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226552",30,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226554",32,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226556",34,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226559",38,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226560",40,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226562",42,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226564",44,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226566",46,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226568",48,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226571",52,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226573",54,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226575",56,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226577",58,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226579",60,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226581",62,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226583",64,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226585",66,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226587",68,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226589",70,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226592",74,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226594",76,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226596",78,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226598",80,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226599",82,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226601",84,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226603",86,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226605",88,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226608",92,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226611",98,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226612",100,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226613",102,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226626",140,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226628",152,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226631",156,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226633",160,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226635",162,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226637",164,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226639",166,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226641",168,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226643",170,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226647",176,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226649",178,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226651",180,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226653",182,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226655",184,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226657",186,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226658",188,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226660",190,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226662",192,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226664",194,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226666",196,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226667",198,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226668",200,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226671",204,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226673",206,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226675",208,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226677",210,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226679",212,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226681",214,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226683",216,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226684",218,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226685",220,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226687",222,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226690",226,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226692",228,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226694",230,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226696",232,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226698",234,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226713",176,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226715",32,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226718",92,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226721",62,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226723",100,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226724",178,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226726",56,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226727",178,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226731",102,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226756",1,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226757",2,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226758",3,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226759",4,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226760",5,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226761",6,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
