"","NOM","case","NATURE","NOM2","raccourci"
"236","R FER A CHEVAL","3F","R","FER A CHEVAL","NC-TSB"
"237","R FLORALIES","2E","R","FLORALIES","NC-TSB"
"238","R FONTAINE","3D","R","FONTAINE","Merisiers"
"239","R FRANCOIS COLLET","3B","R","FRANCOIS COLLET","MVeuve Saule"
"240","R FRANCOIS MARTIN","2D","R","FRANCOIS MARTIN","Merisiers NC-TSB"
"241","R FRANCOIS VILLON","3E","R","FRANCOIS VILLON","Merisiers"
"242","R FRANCOISE HERITIER","2D","R","FRANCOISE HERITIER","Merisiers"
"243","R FRANCS AUBIERS","2F","R","FRANCS AUBIERS","NC-TSB"
"244","R FRATERNITE","2C","R","FRATERNITE","Mainguy"
"245","R FREMIN","1C","R","FREMIN","Mainguy"
"246","R FRERES DARTY","2C","R","FRERES DARTY","Mainguy"
"247","R GARGANTUA","2F","R","GARGANTUA","NC-TSB"
"248","R GASTON DEFFERRE","3C","R","GASTON DEFFERRE","Saule"
"249","R GATINE","2D","R","GATINE","Mainguy NC-TSB"
"250","R GAZELLES","3D","R","GAZELLES","Saule"
"251","R GEORGES ELIE","3D","R","GEORGES ELIE","Saule"
"252","R GEORGES GRAFF","4B","R","GEORGES GRAFF","MVeuve Saule"
"253","R GERMAINE TILLION","2E","R","GERMAINE TILLION","NC-TSB"
"254","R GISELE HALIMI","2D","R","GISELE HALIMI","NC-TSB"
"255","R GUILLAUME APOLLINAIRE","2C","R","GUILLAUME APOLLINAIRE","Saule"
"256","R GUY DE MAUPASSANT","4C","R","GUY DE MAUPASSANT","Saule"
"257","R HELENE BOUCHER","2D","R","HELENE BOUCHER","Mainguy"
"258","R HENRI ALPY","3C","R","HENRI ALPY","Saule"
"259","R HENRI DOUILLOT","4C","R","HENRI DOUILLOT","Saule"
"260","R HENRI DUNANT","3B","R","HENRI DUNANT","Saule"
"261","R HENRI MOULY","2E","R","HENRI MOULY","Merisiers NC-TSB"
"262","R HENRI ROL TANGUY","2E","R","HENRI ROL TANGUY","NC-TSB"
"263","R HENRY ESPAULLARD","1C","R","HENRY ESPAULLARD","Mainguy"
"264","R JACQUELINE AURIOL","3B","R","JACQUELINE AURIOL","Saule"
"265","R JEAN-MARIE TJIBAOU","3E","R","JEAN-MARIE TJIBAOU","Merisiers"
"266","R JEAN JACQUES ROUSSEAU","2E","R","JEAN JACQUES ROUSSEAU","NC-TSB"
"267","R JEAN JAURES","2C","R","JEAN JAURES","Mainguy"
"268","R JEAN MONNET","3A","R","JEAN MONNET","MVeuve"
"269","R JEAN PIERRE LEVY","2E","R","JEAN PIERRE LEVY","NC-TSB"
"270","R JOE CARMAN","2A","R","JOE CARMAN","MVeuve"
"271","R JULES AUFFRET","3C","R","JULES AUFFRET","Saule"
"272","R JULES GUESDE","2C","R","JULES GUESDE","Mainguy Saule"
"273","R JULES LECOMTE","2F","R","JULES LECOMTE","NC-TSB"
"274","R JULES LELONG","2B","R","JULES LELONG","Mainguy"
"275","R JULIE VICTOIRE DAUBIE","2D","R","JULIE VICTOIRE DAUBIE","Mainguy"
"276","R LAUG","3D","R","LAUG","Merisiers"
"277","R LEVANT","3B","R","LEVANT","Saule"
"278","R LIBERTE","2B","R","LIBERTE","MVeuve"
"279","R LIMITES","4A","R","LIMITES","MVeuve"
"280","R LION","2B","R","LION","MVeuve Saule"
